# Crosswalk diputado -> distrito. INSUMO ESTATICO AUDITADO (decision D5).
# Generado por 50_documentacion/andamios/medir_fuente_territorio.R (fase gen).
# NO se regenera en el refresh semanal: 32_extraer_diputados.R solo LEE este archivo.
#
# Fuente: BCN. La llave persona<->diputado sale del endpoint SPARQL
#   https://datos.bcn.cl/sparql  predicado bcn-biographies#idCamaraDeDiputados,
#   que ES el id de la Camara. El distrito sale de la ficha 'Resenas
#   parlamentarias' (tabla Trayectoria Parlamentaria), fila del periodo 2026-2030.
#
# REGLA DE DESAMBIGUACION (materializada en las filas de abajo):
#   BCN reusa el mismo idCamaraDeDiputados en dos personas distintas en 4 casos
#   (un parlamentario historico y uno vigente). Entre los candidatos que comparten
#   id gana el que tiene fila del periodo vigente en su Trayectoria Parlamentaria.
#   ids afectados: 1159, 1175, 1209, 1252. La columna bcn_persona_id deja
#   trazable que persona quedo elegida en cada caso.
#
# Capturado el: 2026-07-24   |   Filas: 155   |   Distritos: 28   |   Escanos: 155
# diputado_id es character; distrito es integer 1-28.
diputado_id,distrito,bcn_persona_id,capturado_el,fuente
1204,19,7142,2026-07-24,BCN resenas parlamentarias
1205,9,7143,2026-07-24,BCN resenas parlamentarias
1206,16,7152,2026-07-24,BCN resenas parlamentarias
1207,15,7172,2026-07-24,BCN resenas parlamentarias
1208,1,4805,2026-07-24,BCN resenas parlamentarias
1209,24,7181,2026-07-24,BCN resenas parlamentarias
1210,8,7165,2026-07-24,BCN resenas parlamentarias
1211,6,7125,2026-07-24,BCN resenas parlamentarias
1212,5,7140,2026-07-24,BCN resenas parlamentarias
1213,10,5123,2026-07-24,BCN resenas parlamentarias
1214,11,4708,2026-07-24,BCN resenas parlamentarias
1215,2,4652,2026-07-24,BCN resenas parlamentarias
1216,1,7128,2026-07-24,BCN resenas parlamentarias
1217,8,7168,2026-07-24,BCN resenas parlamentarias
1218,10,7133,2026-07-24,BCN resenas parlamentarias
1219,23,7182,2026-07-24,BCN resenas parlamentarias
1220,24,7144,2026-07-24,BCN resenas parlamentarias
1221,6,7186,2026-07-24,BCN resenas parlamentarias
1222,27,4818,2026-07-24,BCN resenas parlamentarias
1223,10,7132,2026-07-24,BCN resenas parlamentarias
1224,6,7127,2026-07-24,BCN resenas parlamentarias
1225,18,7136,2026-07-24,BCN resenas parlamentarias
1226,23,7176,2026-07-24,BCN resenas parlamentarias
1227,11,7134,2026-07-24,BCN resenas parlamentarias
1228,25,7146,2026-07-24,BCN resenas parlamentarias
1229,17,4886,2026-07-24,BCN resenas parlamentarias
1230,26,7148,2026-07-24,BCN resenas parlamentarias
1231,2,7161,2026-07-24,BCN resenas parlamentarias
1232,23,7178,2026-07-24,BCN resenas parlamentarias
1233,16,4731,2026-07-24,BCN resenas parlamentarias
1234,8,7167,2026-07-24,BCN resenas parlamentarias
1235,6,7129,2026-07-24,BCN resenas parlamentarias
1236,4,7130,2026-07-24,BCN resenas parlamentarias
1237,10,7131,2026-07-24,BCN resenas parlamentarias
1238,20,4869,2026-07-24,BCN resenas parlamentarias
1239,3,7163,2026-07-24,BCN resenas parlamentarias
1240,12,7192,2026-07-24,BCN resenas parlamentarias
1241,21,7175,2026-07-24,BCN resenas parlamentarias
1242,18,7138,2026-07-24,BCN resenas parlamentarias
1243,9,7145,2026-07-24,BCN resenas parlamentarias
1244,26,7150,2026-07-24,BCN resenas parlamentarias
1245,28,7187,2026-07-24,BCN resenas parlamentarias
1246,20,4939,2026-07-24,BCN resenas parlamentarias
1247,9,7147,2026-07-24,BCN resenas parlamentarias
1248,13,7197,2026-07-24,BCN resenas parlamentarias
1249,24,7179,2026-07-24,BCN resenas parlamentarias
1250,5,7124,2026-07-24,BCN resenas parlamentarias
1251,12,7194,2026-07-24,BCN resenas parlamentarias
1252,11,4710,2026-07-24,BCN resenas parlamentarias
1253,15,7173,2026-07-24,BCN resenas parlamentarias
1254,4,7126,2026-07-24,BCN resenas parlamentarias
1255,5,7137,2026-07-24,BCN resenas parlamentarias
1256,8,4688,2026-07-24,BCN resenas parlamentarias
1257,27,7189,2026-07-24,BCN resenas parlamentarias
1258,17,7135,2026-07-24,BCN resenas parlamentarias
1259,7,7196,2026-07-24,BCN resenas parlamentarias
1260,9,4695,2026-07-24,BCN resenas parlamentarias
1261,24,7180,2026-07-24,BCN resenas parlamentarias
1262,14,7171,2026-07-24,BCN resenas parlamentarias
1263,7,7193,2026-07-24,BCN resenas parlamentarias
1264,15,7151,2026-07-24,BCN resenas parlamentarias
